latitude,longitude,e2008g_N,e2008g_n,p
40.3088,-74.6378,2,2,1
40.3105,-74.6378,1,0,0
40.3114,-74.6378,1,0,0
40.3296,-74.6378,8,1,0.125
40.3084,-74.6377,1,0,0
40.3113,-74.6377,1,0,0
40.3293,-74.6377,2,2,1
40.2799,-74.6376,2,2,1
40.2893,-74.6376,7,3,0.428571429
40.3111,-74.6376,1,1,1
40.3277,-74.6376,3,2,0.666666667
40.2799,-74.6375,3,3,1
40.2821,-74.6375,2,2,1
40.2873,-74.6375,2,2,1
40.2875,-74.6375,2,2,1
40.3292,-74.6375,3,3,1
40.3294,-74.6375,2,1,0.5
40.2529,-74.6374,2,2,1
40.2879,-74.6374,2,1,0.5
40.288,-74.6374,1,1,1
40.3077,-74.6374,1,1,1
40.3078,-74.6374,2,2,1
40.3113,-74.6374,2,2,1
40.3146,-74.6374,30,18,0.6
40.2824,-74.6373,2,2,1
40.3082,-74.6373,1,0,0
40.3107,-74.6373,1,1,1
40.3275,-74.6373,2,2,1
40.2885,-74.6372,6,5,0.833333333
40.3104,-74.6372,2,2,1
40.3113,-74.6372,1,1,1
40.329,-74.6372,2,0,0
40.2891,-74.6371,7,6,0.857142857
40.3074,-74.6371,2,2,1
40.3089,-74.6371,1,1,1
40.3153,-74.6371,10,6,0.6
40.3288,-74.6371,2,1,0.5
40.2532,-74.637,1,1,1
40.2797,-74.637,4,4,1
40.3076,-74.637,1,1,1
40.3079,-74.637,2,0,0
40.311,-74.637,2,0,0
40.3273,-74.637,2,2,1
40.3291,-74.637,3,2,0.666666667
40.2823,-74.6369,7,5,0.714285714
40.3081,-74.6369,1,0,0
40.3085,-74.6369,3,2,0.666666667
40.3153,-74.6369,7,6,0.857142857
40.3289,-74.6369,3,2,0.666666667
40.3286,-74.6368,2,2,1
40.2797,-74.6367,2,0,0
40.2822,-74.6367,1,1,1
