latitude,longitude,e2008g_N,e2008g_n,p
40.3488,-74.6227,3,2,0.666666667
40.349,-74.6227,4,3,0.75
40.3512,-74.6227,2,2,1
40.3536,-74.6227,1,1,1
40.3602,-74.6227,1,1,1
40.3488,-74.6226,1,1,1
40.349,-74.6226,6,6,1
40.3537,-74.6226,4,4,1
40.3538,-74.6226,3,0,0
40.3603,-74.6226,4,2,0.5
40.3539,-74.6225,2,2,1
40.3603,-74.6225,1,1,1
40.3487,-74.6224,2,2,1
40.3489,-74.6224,6,5,0.833333333
40.354,-74.6224,2,0,0
40.3487,-74.6223,3,0,0
40.3489,-74.6223,5,4,0.8
40.3541,-74.6223,7,4,0.571428571
40.3488,-74.6222,1,1,1
40.3542,-74.6222,2,2,1
40.3487,-74.6221,1,0,0
40.3488,-74.6221,4,4,1
40.3542,-74.6221,2,2,1
40.3486,-74.622,3,2,0.666666667
40.3488,-74.622,2,0,0
40.3486,-74.6219,3,3,1
40.3488,-74.6219,3,3,1
40.3543,-74.6219,7,5,0.714285714
40.3544,-74.6219,3,2,0.666666667
40.3608,-74.6219,2,2,1
40.3486,-74.6218,4,4,1
40.3544,-74.6218,2,2,1
40.3486,-74.6217,1,1,1
40.3486,-74.6216,2,2,1
40.3544,-74.6216,2,2,1
40.3544,-74.6215,2,0,0
40.3487,-74.6214,2,2,1
40.3487,-74.6213,2,2,1
40.3544,-74.6213,3,3,1
40.3544,-74.6212,1,0,0
40.3542,-74.621,2,0,0
40.3541,-74.6209,2,1,0.5
40.3541,-74.6208,3,3,1
40.3539,-74.6206,1,1,1
40.3536,-74.6204,3,3,1
40.3537,-74.6204,2,1,0.5
40.3494,-74.6202,3,3,1
40.3534,-74.6202,1,1,1
40.3535,-74.6202,2,0,0
40.3604,-74.6202,1,0,0
40.3605,-74.6202,6,3,0.5
40.3604,-74.6201,1,1,1
40.3533,-74.62,5,4,0.8
40.3566,-74.62,1,1,1
40.3532,-74.6199,2,2,1
40.3567,-74.6198,1,1,1
40.3615,-74.6198,6,5,0.833333333
40.3531,-74.6197,2,2,1
40.3616,-74.6197,4,4,1
40.3504,-74.6196,22,21,0.954545455
40.3505,-74.6196,19,11,0.578947368
40.3507,-74.6196,18,14,0.777777778
40.3509,-74.6196,64,46,0.71875
40.351,-74.6196,80,59,0.7375
40.3511,-74.6196,17,15,0.882352941
40.36,-74.6196,2,1,0.5
40.3506,-74.6195,7,3,0.428571429
40.3507,-74.6195,37,25,0.675675676
40.3508,-74.6195,5,4,0.8
40.3511,-74.6195,40,29,0.725
40.3512,-74.6195,59,43,0.728813559
40.3531,-74.6195,1,1,1
40.3561,-74.6195,2,2,1
40.36,-74.6195,4,4,1
40.3507,-74.6194,38,33,0.868421053
40.3508,-74.6194,4,2,0.5
40.3509,-74.6194,15,14,0.933333333
40.351,-74.6194,11,10,0.909090909
40.3511,-74.6194,7,7,1
40.3569,-74.6194,2,2,1
40.3507,-74.6193,39,28,0.717948718
40.3511,-74.6193,10,9,0.9
40.3512,-74.6193,2,2,1
40.3513,-74.6193,3,0,0
40.3529,-74.6193,2,0,0
40.363,-74.6193,2,2,1
40.3506,-74.6192,3,2,0.666666667
40.3507,-74.6192,42,32,0.761904762
40.3514,-74.6192,4,3,0.75
40.3515,-74.6192,4,2,0.5
40.3528,-74.6192,3,0,0
40.357,-74.6192,2,2,1
40.3516,-74.6191,4,1,0.25
40.3517,-74.6191,1,1,1
